epochs,max_seq_len,batches,lr_schedulers,accuracy
4,150,32,CosineDecay,0.951
4,150,32,5e-05,0.939
4,150,32,4e-05,0.937
4,150,32,3e-05,0.934
4,150,64,PolynomialDecay,0.944
4,150,64,CosineDecay,0.948
4,150,64,5e-05,0.944
4,150,64,4e-05,0.94
4,150,64,3e-05,0.935
5,50,16,PolynomialDecay,0.887
5,50,16,CosineDecay,0.9
5,50,16,5e-05,0.895
5,50,16,4e-05,0.894
5,50,16,3e-05,0.888
5,50,32,PolynomialDecay,0.902
5,50,32,CosineDecay,0.898
5,50,32,5e-05,0.906
5,50,32,4e-05,0.9
5,50,32,3e-05,0.91
5,50,64,PolynomialDecay,0.917
5,50,64,CosineDecay,0.915
5,50,64,5e-05,0.902
5,50,64,4e-05,0.912
5,50,64,3e-05,0.911
5,100,16,PolynomialDecay,0.933
5,100,16,CosineDecay,0.919
5,100,16,5e-05,0.928
5,100,16,4e-05,0.93
5,100,16,3e-05,0.949
5,100,32,PolynomialDecay,0.932
5,100,32,CosineDecay,0.929
5,100,32,5e-05,0.948
5,100,32,4e-05,0.938
5,100,32,3e-05,0.938
5,100,64,PolynomialDecay,0.942
5,100,64,CosineDecay,0.932
5,100,64,5e-05,0.933
5,100,64,4e-05,0.94
5,100,64,3e-05,0.94
5,150,16,PolynomialDecay,0.928
5,150,16,CosineDecay,0.94
5,150,16,5e-05,0.946
5,150,16,4e-05,0.945
5,150,16,3e-05,0.941
5,150,32,PolynomialDecay,0.946
5,150,32,CosineDecay,0.945
5,150,32,5e-05,0.931
5,150,32,4e-05,0.92
5,150,32,3e-05,0.945
5,150,64,PolynomialDecay,0.939
5,150,64,CosineDecay,0.945
5,150,64,5e-05,0.938
5,150,64,4e-05,0.948
5,150,64,3e-05,0.946
